|prunus laurocerasus| rosacea |c.10.6, c.13, c.14.6, c.15.4, c.16.4, f.12, f.20, f.8, f.9, tol.3, vj.10, vj.12, vj.14, vj.16, vj.2, vj.4, vj.6, vj.8|
|prunus lusitanica| rosacea f.24
|prunus serrulata| rosacea |f.21, f.24, f.25, f.4|
|pseudotsuga macrocarpa| pinacea e.1.3
|pseudotsuga menziesii| pinacea f.21
|pterocarya fraxinifolia| juglandacea f.22
|punica granatum "legrelleae"| rutacea c.3.7
|punica granatum| rutacea |c.1.2, c.3.4, c.5.8, c.6.3, c.6.12, c.13.7, c.14,6, f.23|
|pyrus communis| rosacea c.13.12
|pyrus salicifolia 'pendula'| rosacea f.10
|quercus calliprinos| fagacea e.2.11
|quercus canariensis| fagacea e.2.15
|quercus coccifera| fagacea c.6.12,e.2.15
|quercus faginea| fagacea |e.2.12, e.2.16|
|quercus frainetto| fagacea f.4
|quercus ilex| fagacea tol.3
|quercus ilex ballota| fagacea c.6.12,e.2.15
|quercus macrocarpa| fagacea e.12.8
|quercus pubescens| fagacea e.2.9
|quercus pyrenaica| fagacea e.2.16
|quercus robur| fagacea |c.12.8, c.14.1, c.6.6, e.10.8, e.12.8, e.2.8, e.3.6, f.20|
|quercus shumardii| fagacea e.7.6
|quercus suber| fagacea |c.14.7, e.2.15|
|quillaja saponaria| rosacea e.5.12
|robinia luxurians| leguminosa e.5.13
|robinia pseudacacia| leguminosa |c.13.6, c.14.1, c.16.1, c.16.2, c.4.16, c.6.12, c.7.7, e.9.5, pu|
|salix aegyptiaca| salicacea f.16
|salix alba alba| salicacea v.2.4
|salix babylonica| salicacea f.22
|salix caprea| salicacea f.4
|sassafras albidum| lauracea e.2.4
|schinus lentiscifolius| anacardiacea e.4.6
|schinus polygamus| anacardiacea |c.12.7, c.14.2, f.23|
|sequoia sempervirens| taxodiacea |e.1.6, f.5|
|sequoiadendron giganteum| taxodiacea |c.3.3, e.1.7, f.13, f.26|
|sophora japonica 'pendula'| leguminosa |e.1.8, f.2, f.23|
|sophora japonica| leguminosa |c.11.6, c.12.7, c.14.12, c.16.3, c.3.7, c.8.12, c.8.6, c.9.7, e.10.7, e.8.15|
|sorbus aria 'decaisneana'| rosacea f.4
|sorbus aucuparia 'fastigiata'| rosacea plat.9
|sorbus aucuparia| rosacea f.16,f.21,f.25,f.4
|taiwania cryptomerioides| taxodiacea e.1.5
|taxodium ascendens 'nutans'| taxodiacea e.1.1
|taxodium distichum| taxodiacea |f.11, f.15, v.1, v.2.1|
|taxus baccata 'adpressa'| taxacea tol.3
|taxus baccata 'aurea'| taxacea e.1.7
|taxus baccata 'fastigiata aurea'| taxacea e.1
|taxus baccata 'overeynderi'| taxacea rocalla
|taxus baccata 'semperaurea'| taxacea c.3.7
|taxus baccata| taxacea |c.10.1, c.10.11, c.11.1, c.11.11, c.12.5, c.3.1, c.5.12, c.5.2, c.6.11, c.6.2, c.6.7, c.8.12, e.1.7, e.12.8, e.3.6, e.4.8, e.9.6, f.12, f.14, f.18, f.19, f.25, f.7|
|taxus cuspidata| taxacea vj.10
|tetraclinis articulata| cupressacea |c.13, e.1.5, pu, vj.8|
|thuja orientalis| cupressacea |pu, tol.2|
|tilia cordata| tiliacea |e.11.15, e.4.7|
|tilia henryana| tiliacea f.22
|tilia oliveri| tiliacea plat.5
|tilia platyphyllos| tiliacea |c.13.12, c.9.12, e.6.8, f.2, f.24, v.2.4|
|tilia tomentosa| tiliacea e.12.5
|tilia tomentosa 'petiolaris'| tiliacea f.21
|tilia x vulgaris| tiliacea |c.2.3.3, c.8.7, vj.8|
|torreya nucifera| pinacea e.1.8,v.2.2
|trachycarpus fortunei| palma |c.10.1, c.10.11, c.10.2, c.10.6, c.12.1, c.12.12, c.12.6, c.12.7, c.12.8, c.13.7, c.14.12, c.14.6, c.14.7, c.15.4, c.16.1, c.16.2, c.4.12, c.6.12, c.6.7, c.7.1, c.8.12, c.8.6, e.13.1, f.12, f.14, f.24, f.25, f.5, f.6, pu, tol.1, tol.2|
|tsuga canadensis 'seddelhoj'| pinacea rocalla
|ulmus americana| ulmacea |e.11.11, f.23|
|ulmus glabra| ulmacea c.5.12
|ulmus glabra 'pendula'| ulmacea f.21
|ulmus minor| ulmacea |c.10.1, c.11.7, c.12.1, c.12.6, c.16.1, c.4.13, c.4.16, c.5.12, c.7.6, c.8.7, e.10.6, e.13, e.8.14|
|x cupressocyparis leylandii| cupressacea e.1.6
|zelkova carpinifolia| ulmacea e.5.12
|zelkova schneideriana| ulmacea e.10.7,e.10.8
